Country,Confirmed,Deaths,Recovered,Active,Continent,Region
South Africa,9420,186,3983,5251,Africa,AFRO
Egypt,8964,514,2002,6448,Africa,AFRO
Morocco,5910,186,2461,3263,Africa,AFRO
Algeria,5558,494,2546,2518,Africa,AFRO
Ghana,4263,22,378,3863,Africa,AFRO
Nigeria,4151,128,745,3278,Africa,AFRO
Cameroon,2274,108,1232,934,Africa,AFRO
Guinea,2042,11,698,1333,Africa,AFRO
Senegal,1634,17,643,974,Africa,AFRO
Djibouti,1189,3,834,352,Africa,AFRO
Sudan,1111,64,119,981,Africa,AFRO
Tunisia,1032,45,660,327,Africa,AFRO
Somalia,997,48,110,839,Africa,AFRO
Niger,815,45,617,153,Africa,AFRO
Burkina Faso,748,48,569,131,Africa,AFRO
Mali,692,37,298,357,Africa,AFRO
Gabon,661,8,110,543,Africa,AFRO
Kenya,649,30,207,412,Africa,AFRO
Guinea-Bissau,641,3,25,613,Africa,AFRO
Tanzania,509,21,183,305,Africa,AFRO
United States,1310997,78692,212534,1033324,North America,AMR
Brazil,156061,10656,61685,83720,South America,AMR
Canada,68918,5704,31262,32833,North America,AMR
Peru,65015,1814,20246,42955,South America,AMR
Mexico,33460,3353,21824,8283,North America,AMR
Ecuador,29071,1717,3433,23921,South America,AMR
Chile,27219,304,12667,14248,South America,AMR
Colombia,10495,445,2569,7481,South America,AMR
Dominican Republic,9882,385,2584,6913,North America,AMR
Panama,8282,237,4501,3544,North America,AMR
Argentina,5776,300,1728,3748,South America,AMR
Bolivia,2437,114,258,2065,South America,AMR
Honduras,1830,108,195,1527,North America,AMR
Cuba,1754,74,1140,540,North America,AMR
Guatemala,967,24,104,839,North America,AMR
El Salvador,784,17,276,491,North America,AMR
Costa Rica,780,6,480,294,North America,AMR
Uruguay,702,18,513,171,South America,AMR
Paraguay,689,10,155,524,South America,AMR
Jamaica,490,9,62,419,North America,AMR
Spain,223578,26478,133952,63148,Europe,EURO
Italy,218268,30395,103031,84842,Europe,EURO
United Kingdom,216525,31662,1001,183862,Europe,EURO
Russia,198676,1827,31916,164933,Europe,EURO
France,178156,26313,56148,94321,Europe,EURO
Germany,171324,7549,143300,20475,Europe,EURO
Belgium,52596,8581,13411,30604,Europe,EURO
Netherlands,42581,5441,149,36991,Europe,EURO
Switzerland,30251,1830,26400,2021,Europe,EURO
Portugal,27406,1126,2499,23781,Europe,EURO
Sweden,25921,3220,4971,17730,Europe,EURO
Ireland,22760,1446,17110,4204,Europe,EURO
Belarus,22052,126,6050,15876,Europe,EURO
Austria,15833,615,13928,1290,Europe,EURO
Poland,15651,785,5437,9429,Europe,EURO
Romania,15131,939,6912,7280,Europe,EURO
Ukraine,14710,376,2909,11425,Europe,EURO
Denmark,10517,526,8291,1700,Europe,EURO
Serbia,10032,215,2732,7085,Europe,EURO
Norway,8099,219,32,7848,Europe,EURO
Turkey,137115,3739,89480,43896,Asia,OCEA
Iran,106220,6589,85064,14567,Asia,OCEA
China,83990,4637,79127,226,Asia,OCEA
India,62808,2101,19301,41406,Asia,OCEA
Saudi Arabia,37136,239,10144,26753,Asia,OCEA
Pakistan,28736,636,7809,20291,Asia,OCEA
Singapore,22460,20,2296,20144,Asia,OCEA
Qatar,21331,13,2449,18869,Asia,OCEA
United Arab Emirates,17417,185,4295,12937,Asia,OCEA
Israel,16359,251,11402,4831,Asia,OCEA
Japan,15663,607,5906,9150,Asia,OCEA
Bangladesh,13770,214,2414,11142,Asia,OCEA
Indonesia,13645,959,2607,10079,Asia,OCEA
Philippines,10610,704,1842,8064,Asia,OCEA
Kuwait,7623,49,2622,4952,Asia,OCEA
Australia,6939,97,6141,701,Oceania,OCEA
Malaysia,6589,108,4929,1552,Asia,OCEA
Kazakhstan,4975,31,1776,3168,Asia,OCEA
Bahrain,4774,8,2055,2711,Asia,OCEA
Afghanistan,4042,115,502,3416,Asia,OCEA
